texto,label,predito
"“”Pintinhos recém nascidos são triturados vivos para fazer os caldos de galinha”. “”Vocês sabem a origem dos famosos caldos de galinha, tão usados para temperar nossas comidas?… Pois agora estão sendo apresentados!! Esses pintinhos que são triturados vivos são os ingredientes principais dos caldos de galinha, aqueles quadradinhos, tão inocentes… Por isso nós aqui insistimos tanto na ideia de que O VEGANISMO É A SOLUÇÃO!!! Ficaram com pena dos bichinhos? Então, por favor, não financiem mais isso, não comprem caldo de galinha, existem muitas outras opções livres de crueldade para temperarmos nossas comidas!!! “Pintinhos machos não servem para “indústria do frango” e são descartados ainda vivos !!!”. “Alguns produtores evitando o “desperdício”, moem os pintinhos vivos, com penas e fezes,depois temperam para fabricar caldos de galinha (Caldo Knorr, Maggi, Arisco)”.",0,0.0
Brasil tem 3.481 mortes por covid em 24 h e supera 14 milhões de casos . . o brasil registrar hoje 3.481 morte covid-19 chegar o total 378.530 óbito semana 2.830 pessoa morrer médio país decorrência doença o 90º dia consecutivo o médio móvel morte acima haver ficar abaixar 2.000 o início pandemia país total 14.050.885 brasileiro infectar coronavírus e hoje 73.172 casar incluir balançar secretariar estadual saudar alimentar o consórcio veículo imprensar o uol representar óbito e diagnóstico fato ocorrer passar o constar base oficiar governar,1,0.0
Misturar diesel na gasolina melhora desempenho do carro . Misturar diesel na gasolina melhora desempenho do carro . né ensinar preciso d situação misturar especial entender aprender o melhor octanagem boto r$ gasolina comum e r$ diesel s10 o segredar parir parir limpar o bico parir o economia e parir o carro ficar forte ninguém contar né funcionar r$ gasolina comum e r$ diesel s10 o carro ficar parir e litro umar limpeza o bicar comer o s10 deixar resíduo valer r$ diesel s10 o realidade o misturar colocar ml litro gasolina ai tantinho umar octanada o gasolina e ficar pra caramba e ninguém contar algum mestre e ninguém querer o gente contar né ficar ligar valer antoninho obrigadão,0,0.0
"Saiba quando e para quem a cirurgia bariátrica é indicada. . acordar pesquisar vigitel divulgar ministério saudar julho 19,8 população brasileiro obeso o crescimento 0,9 percentual o o ano anterior d pessoa tratar o obesidade o cirurgia bariátrica indicar índice massa corporal imc imc e 39,9 apresentar doença hipertensão e diabete apesar o cirurgia bariátricas crescer 4,38 ano — chegar o 63.969 o sociedade brasileiro cirurgia bariátrica e metabólico sbcbm — o quantidade representar o demandar brasileiro principalmente único saudar sus — haver estigma o obesidade pessoa o reconhecer doença achar paciente submeter o cirurgia forçar vontade verdade corajoso — o presidente sbcbm marcar leão villas bôas imc elevar precisar o paciente o tratamento clínico — mudança alimentar e exercício físico — sucesso ano e o diagnóstico obesidade haver operar sus necessário o tratamento unidade atenção básico postar saudar e clínico família e colocar filar regulação cirurgia — o pessoa considerar super obeso imc acima operar recomendar perder pesar melhorar condição cirurgia — cid pitombo coordenador programar cirurgia bariátrica rir",1,0.0
São Paulo inicia vacinação de idosos de 60 a 62 anos; saiba onde se vacinar . . o cidade paulo hoje o vacinação idoso e ano drive-thru disponível diferente região município o expectativa secretariar municipal saudar imunizar pessoa o dosar estruturar drive-thru existente operar normalmente o destinar exclusivamente aplicação dosar vacinar oxford astrazeneca imunizante pfizer aplicar ubs unidade básico saudar cidade ubs receber dosar oxford astrazeneca e o dosar coronavac,1,0.0
"Eclipse, superlua, chuva de meteoros: conheça o calendário astronômico de 2021. . eclipsar superluas chuva meteoro oposição e conjunção planeta fenômenos marcar o calendário astronômico observar o olhar nu auxílio binóculo telescópio região específico planeta o evento ano o chuva meteoro quadrântidas observar domingo chance visibilidade região norte e nordeste brasil daniel mello astrônomo e coordenador extensão observatório valongo universidade federal rir janeiro ufrj explicar fenômeno caracterizar fluxo meteoroides quedar alto atmosfera terra produzir meteoro — chamar estrelar cadente — ficar visível durante o noite determinar região céu o chuva meteoro origem o restar cometer afirmar o popular superlua ocorrer fase cheio distanciamento terra — geralmente o utilizar o lua cheio dever o o fato terra n ocasião brilhar levemente lua cheio ocorrer durante o ano — afirmar o astrônomo mello explicar existir principal eclipsar o lunar e o solar o ocorrer o terra ficar posicionar o sol e o lua e projeta n sombra — eclipsar lunar total o lua completamente encobrir sombra terra parcial sombra terrestre projetada n haver o eclipsar lunar penumbral o lua levemente obscurecer bordar sombra terra detectar facilmente — afirmar o eclipsar solar ocorrer o lua ficar o sol e o terra e projeta o planeta sombra produzir o eclipsar total parcial fenômenos observar o conjunção e o oposição planeta o ocorrer astro aparecer alinhar outro vestir terra o acontecer planeta opor o o sol observar terra — palavra o oposição indicar o planeta o 180º solar o período oposição o indicar o observação planeta e objetos externar órbita terra — afirmar mello gostar observar o céu o observatório valongo ufrj criar durante o pandemia o projeto astronomia janela o iniciativo oferecer dica explorar o universo casar e interessar enviar imagem astronômicas analisar receber texto descritivo e publicar site observatório conferir principal evento astronômicos indicação observar o astrônomo daniel mello março — encontrar marte o aglomerar estrelar plêiade direção oeste voltar 20h e março — conjunção quádruplo mercúrio júpiter saturno e o lua o fenômeno observar o olhar nu direção ler voltar 5h abril — chuva meteoro líridas visível o brasil direção norte melhorar chance região norte e nordeste o 1h abril — superlua o lua posicionar constelação virgem e vestir durante o noite maio — chuva meteoro eta aquarídeos visível o brasil direção ler o 2h o lua aquário e melhorar chance observação locar afastar cidade maio — superlua florir vestir durante o noite o lua posicionar constelação escorpião o o estrelar antar maio — eclipsar lunar visível eclipsar total zelândia austrália oceania extremar alasca e antártida brasil ocorrer eclipsar lunar parcial região sul e região norte e centro-oeste o eclipsar penumbral junho — eclipsar anular sol visível canadá groenlândia extremar ártico e extremar nordeste rússia invisível brasil e julho — o brasil vênus e marte atrações comedir noite o pôr sol direção oeste outro dia o lua deixar o visão interessante e morador rir janeiro o estação espacial internacional cruzar o céu astro produzir belo fenômeno observação e fotografia astronômica dia ocorrer o conjunção planeta o dica procurar horizonte oeste livrar e julho — chuva meteoro delta-aquarídeos visível o brasil direção ler o 22h dia o lua aquári o e melhorar chance observação locar afastar cidade agostar — oposição saturno melhor datar anual observação saturno vestir o olhar nu o brasil durante o noite o planeta constelação capricórnio agostar — chuva meteoro perseidas chuva meteoro intenso ano vestir o brasil direção norte melhorar chance região norte e nordeste o 3h agostar — conjunção marte e mercúrio vestir o brasil direção oeste comedir noite voltar 18h planeta “ ” e vestir o olhar nu binóculo agostar — oposição júpiter melhor datar anual observação júpiter vestir o olhar nu o brasil durante o noite o planeta constelação aquário setembro — oposição netuno melhor datar anual observação netuno vestir durante o noite telescópio locar afastar cidade o planeta constelação aquário outubro — chuva meteoro draconídeos visibilidade difícil o brasil chance região norte e nordeste observar meteoro comedir noite direção noroeste outubro — encontrar vênus o estrelar antar vestir comedir noite s 20h direção oeste outubro — chuva meteoro orionidas visível o brasil direção ler o 22h dia o lua touro e melhorar chance observação locar afastar cidade novembro — oposição urano melhor datar anual observação urano vestir durante o noite binóculo e telescópio locar afastar cidade o planeta constelação áries novembro — chuva meteoro leônidas vestir o brasil direção ler o 2h novembro — eclipsar lunar parcial visível américas oceania austrália chinar japão extremar oriental sudeste asiático e nordeste rússia brasil vestir o território melhorar chance morador região norte dezembro — eclipsar solar visível antártida e atlântico sul invisível brasil e dezembro — chuva meteoro geminidas intenso chuva meteoro ano vestir o brasil melhorar chance região norte e nordeste direção nordeste o 21h visível durante o madrugar dia dezembro — chuva meteoro ursidas visibilidade difícil o brasil chance região norte e nordeste observar meteoro d chuva durante o madrugar direção norte",1,0.0
Redução da multa do FGTS de 40% para 20% só valerá para jovens e deverá ser acordada em contrato. . mp governar bolsonaro publicação induzir leitor o acreditar multar casar rescisão contratual justo causar reduzir trabalhador o texto abrir possibilidade jovem contratar modalidade,0,0.0
Vacina: Unifesp prevê bons resultados no início de 2021 e registro em junho . . soraya smaili reitor unifesp universidade federal paulo hoje entrevistar emissor globonews haver resultar promissor vacinar o covid-19 desenvolver universidade oxford início ano e registrar junho esforçar o quantidade pessoa receber o vacinar mundo resultar promissor início ano e o registrar junho provavelmente afirmar o instituição participar fase pesquisar vacinar inglesar e imunizar voluntário passar — receber o vacinar e o placebo efetividade o coronavírus o estudar chamar duplo-cego ninguém o informação o receber imunizar acompanhar horar ninguém apresentar efeito colateral efeito severo haver intercorrência acompanhar equipar unifesp afirmar,1,0.0
Ministro da Defesa: 'Forças Armadas estarão ao lado da lei e da democracia' . . o ministrar defeso fernando azevedo e silvar condenar agressão sofrer profissional jornal o s.paulo durante manifestação apoiadores jair bolsonaro notar o general o liberdade expressão fundamental país democrático e garantir forçar armar o o lei o liberdade expressão requisitar fundamental país democrático agressão o profissional imprensar inaceitável forçar armar o o lei ordem democracia e liberdade o compromisso escrever azevedo e silvar falar nome marinhar exército e aeronáutico o ministrar afirmar instituição organismo e considerar o independência e o harmonia imprescindível o governabilidade país azevedo e silvar citar o crise causar coronavírus consequência sanitário e social imprevisível pedir esforçar e entendimento o brasil precisar avançar o general,1,0.0
Anvisa confirma que 34 pessoas morreram por causa de vacinas contra Covid-19 . Boato – A Anvisa acabou de confirmar que 34 pessoas morreram e 767 sofreram efeitos adversos após tomarem as vacinas contra Covid-19 da AstraZeneca/Oxford (Covidshield) e da Sinovac/Instituto Butantan (Coronavac).. anvisa confirmar óbito e efeito adverso vacinação o o notificação efeito adverso leve e grave vacinar coronavac e astra zeneca,0,0.0
